Total Box Office,Movie Name,Initial Budget,TwitterSense True Score,Youtube Ratio Score,Youtube Trailer Like Count
433888866,A Star is Born,36000000,0.220640222,0.972451095,207841
28341469,The Shawshank Redemption,25000000,-0.100896875,0.970415737,18697
128107642,Step Brothers,65000000,0.17994188,0.953363914,2494
1084939099,The Dark Knight Rises,250000000,0.403234375,0.973763748,124039
194647323,A Dog's Purpose,22000000,-0.011111538,0.907861049,141127
481840909,Saving Private Ryan,70000000,0.342663333,0.960066556,4039
571006128,Fifty Shades of Grey,40000000,0.181288889,0.871703242,245639
1346739107,Black Panther,200000000,-0.05056425,0.962754582,440285
66266401,Vice,60000000,0.0531083,0.960346912,23032
340677200,A Quiet Place,17000000,0.01974065,0.96640864,73909
1241891456,The Incredibles 2,200000000,0.922075,0.955079961,416497
741547413,Deadpool 2,110000000,0.220828571,0.974062057,626844
835137710,Bohemian Rhapsody,52000000,0.363005056,0.982300739,296867
1143689193,Aquaman,160000000,-0.053196,0.945101074,648414
255017329,Get Out,4500000,0.220640222,0.908276028,67890
525573161,Dunkirk,100000000,0.148943971,0.963262536,256879
821847012,Wonder Woman,149000000,0.044071816,0.962280268,229806
853977126,Thor: Ragnarok,180000000,0.125755138,0.959417311,718877
616801808,Logan,97000000,-0.1478389,0.983251478,255257
194989655,The Shape of Water,19500000,0.532706667,0.943732259,114034
1023784195,Zootopia,150000000,0.074463001,0.945089837,75008
677718395,Doctor Strange,166000000,0.295348146,0.96989284,250437
695331111,Moana,150000000,0.18984895,0.947831918,149820
800526015,Coco,175000000,0.1128553,0.875927734,17939
700381748,It,35000000,0.12221595,0.949136108,470837
129042871,Mean Girls,17000000,0.346681538,0.427098965,10815
1346739107,Black Panther,200000000,0.85015,0.427098965,10815
1346739107,Black Panther,200000000,-0.029986267,0.427098965,10815
101758490,The Devil Inside,1000000,-0.36895694,0.909389952,3041
775398007,Star Wars,11000000,0.185328832,0.878523801,532685
1346739107,Black Panther,200000000,0.185701908,0.962759284,440472
2046239637,Avengers: Infinity War,300000000,0.2118,0.976366747,3514106
271841,七人の侍,2000000,0.19125,0.960104076,1107
10462500,Casablanca,878000,0.076863987,0.978509711,13250
1066969703,Toy Story 3,200000000,0.077642127,0.840167015,10061
215832199,Dumbo,170000000,0.272314286,0.936212486,184241
150406466,Happy Feet Two,130000000,-0.434583333,0.864016736,826
